[2025-03-21 22:52:06,607] 21 root - INFO - Initiating the Data Ingestion
[2025-03-21 22:52:07,583] 60 root - INFO - Performed train test split on dataframe
[2025-03-21 22:52:07,583] 66 root - INFO - Exporting train and test file path
[2025-03-21 22:52:07,616] 75 root - INFO - Exported Train and test file path
[2025-03-21 22:52:07,617] 23 root - INFO - Data Ingestion is completed
[2025-03-21 22:52:07,621] 27 root - INFO - initiate data Vlaidation
[2025-03-21 22:52:07,632] 32 root - INFO - Required Number of Columns:2
[2025-03-21 22:52:07,632] 33 root - INFO - Data Frame has columns:31
[2025-03-21 22:52:07,632] 32 root - INFO - Required Number of Columns:2
[2025-03-21 22:52:07,632] 33 root - INFO - Data Frame has columns:31
[2025-03-21 22:52:07,728] 29 root - INFO - Data validation Completed
[2025-03-21 22:52:07,728] 32 root - INFO - Data Transformation Started
[2025-03-21 22:52:07,728] 65 root - INFO - Entered initiate_data_method of Data Transformation Class
[2025-03-21 22:52:07,728] 67 root - INFO - Start data Transformation
[2025-03-21 22:52:07,739] 49 root - INFO - Enter get_data_transformer_object method of Transformation class
[2025-03-21 22:52:07,739] 54 root - INFO - Intialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-21 22:52:07,743] 50 root - INFO - Entered the save_object method of Main Utils Class
[2025-03-21 22:52:07,745] 54 root - INFO - Exited the Save_object method of MainUtils Class
[2025-03-21 22:52:07,745] 50 root - INFO - Entered the save_object method of Main Utils Class
[2025-03-21 22:52:07,746] 54 root - INFO - Exited the Save_object method of MainUtils Class
[2025-03-21 22:52:07,746] 36 root - INFO - Data Transformation Completed
[2025-03-21 22:52:07,746] 39 root - INFO - Model training has started
